student_number,first_name,last_name,age_at_enrollment,application_order,curricular_units_1st_sem_enrolled,daytime_evening_attendance,debtor,displaced,gender,marital_status,scholarship_holder,tuition_fees_up_to_date,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade
d35e7fea,Sara,White,18,1,6,1,0,1,0,1,0,1,1,12.0,11.0
9c672778,Gregory,Zuniga,18,1,7,1,0,1,0,1,0,1,6,11.666666666666666,13.5
f433ea18,Ryan,Richardson,20,4,7,1,0,1,0,1,0,1,7,11.4375,11.425
cd743437,Mitchell,Trevino,18,1,6,1,1,1,0,1,1,1,5,11.6,11.0
a42cebea,Marie,Mccarthy,18,1,5,1,0,1,0,1,0,1,5,12.666666666666666,13.0
9b7317ad,Pamela,Heath,19,2,7,1,0,1,1,1,0,1,6,12.933333333333332,13.716666666666669
39804f4e,Brian,Baxter,21,1,6,1,0,0,1,1,0,1,5,11.857142857142858,10.571428571428571
2b872163,Amy,Smith,18,1,5,1,0,0,1,1,0,0,3,11.333333333333334,13.5
fa212c05,Mark,Thompson,24,1,5,0,0,0,0,1,0,1,2,11.5,14.333333333333334
d6a1667c,Jennifer,Phelps,19,1,8,1,0,1,0,1,1,1,6,11.833333333333334,11.833333333333334
1c97b550,Matthew,Bailey,20,1,6,1,0,1,0,1,1,1,4,14.0,11.0
e97ec251,Allen,Rosario,18,3,0,1,0,1,0,1,0,1,0,0.0,0.0
9aa7cf96,Robert,Wilson,19,3,0,1,0,1,1,1,1,1,0,0.0,0.0
56be5636,Patrick,Everett,19,1,6,1,0,1,1,1,0,1,5,11.4,10.0
311f3764,Bobby,Martinez,24,1,6,1,0,0,1,1,0,1,0,0.0,0.0
69ce175b,Joseph,Martin,26,1,6,1,0,0,1,1,0,1,6,12.0,10.8
83c5e3bc,Helen,Ramirez,18,1,5,1,0,0,1,1,0,1,0,0.0,0.0
71e9242d,John,Smith,18,1,5,1,0,0,1,1,0,1,5,12.0,11.333333333333334
9390dd3c,Justin,Barnes,23,6,5,1,0,1,1,1,0,1,4,14.0,13.8
e26ec0ab,Sandra,Anderson,18,2,5,1,1,1,1,1,0,1,2,10.0,0.0
bed6e1d5,Lucas,Smith,19,1,5,1,0,1,1,1,0,1,5,14.0,13.25
d6ef4757,Brittney,Jones,19,1,5,1,0,1,0,1,0,1,5,14.2,13.8
b0774eb9,James,Bryant,20,2,7,1,0,1,0,1,0,1,6,11.666666666666666,13.0
79c836d7,Anna,Cannon,18,2,5,1,0,1,0,1,1,1,3,13.0,11.0
6c289dfb,Brittany,Anderson,20,1,7,1,0,0,0,1,0,1,6,11.616666666666667,13.0
1499d849,James,Davis,20,1,6,1,0,1,0,1,1,1,2,10.0,10.75
3c2bda17,Shawn,Powell,20,1,5,1,0,0,0,1,0,1,3,10.333333333333334,10.666666666666666
87b86c69,Sean,Meyer,18,1,6,1,0,1,0,1,1,1,5,12.8,13.4
d127ab78,Mary,Harris,20,2,7,1,0,0,0,1,1,1,5,13.188,12.892857142857142
0804ddcc,Erica,Franco,22,1,5,1,1,1,0,1,0,0,0,0.0,0.0
f9140a8a,Paul,Oneal,18,1,0,1,0,1,0,1,0,1,0,0.0,0.0
f1a0696a,Jeffrey,Spencer,18,1,6,1,0,1,0,1,0,1,3,12.333333333333334,10.833333333333334
