age_at_enrollment,curricular_units_1st_sem_approved,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade,debtor,displaced,gender,scholarship_holder,tuition_fees_up_to_date,first_name,last_name,student_number
18,1,6,12.0,11.0,0,1,0,0,1,Alice,Smith,47da0524
18,6,7,11.666666666666666,13.5,0,1,0,0,1,Bob,Jones,e671bd94
20,7,7,11.4375,11.425,0,1,0,0,1,Charlie,Taylor,622bf4d5
18,5,6,11.6,11.0,1,1,0,1,1,Dana,Brown,a542ba47
18,5,5,12.666666666666666,13.0,0,1,0,0,1,Eli,Patel,855659d7
19,6,7,12.933333333333332,13.716666666666669,0,1,1,0,1,Alice,Smith,c76de55a
21,5,6,11.857142857142858,10.571428571428571,0,0,1,0,1,Bob,Jones,b202b995
18,3,5,11.333333333333334,13.5,0,0,1,0,0,Charlie,Taylor,291a41c4
24,2,5,11.5,14.333333333333334,0,0,0,0,1,Dana,Brown,f3b09590
19,6,8,11.833333333333334,11.833333333333334,0,1,0,1,1,Eli,Patel,065516e7
20,4,6,14.0,11.0,0,1,0,1,1,Alice,Smith,4eeead82
18,0,0,0.0,0.0,0,1,0,0,1,Bob,Jones,473cdaeb
19,0,0,0.0,0.0,0,1,1,1,1,Charlie,Taylor,9a9add5a
19,5,6,11.4,10.0,0,1,1,0,1,Dana,Brown,93eb9a7f
24,0,6,0.0,0.0,0,0,1,0,1,Eli,Patel,07e522fa
26,6,6,12.0,10.8,0,0,1,0,1,Alice,Smith,4a6ca248
18,0,5,0.0,0.0,0,0,1,0,1,Bob,Jones,1ce9d185
18,5,5,12.0,11.333333333333334,0,0,1,0,1,Charlie,Taylor,4614f8ac
23,4,5,14.0,13.8,0,1,1,0,1,Dana,Brown,039ef1da
18,2,5,10.0,0.0,1,1,1,0,1,Eli,Patel,ed59784f
19,5,5,14.0,13.25,0,1,1,0,1,Alice,Smith,e2082f45
19,5,5,14.2,13.8,0,1,0,0,1,Bob,Jones,bc7ed315
20,6,7,11.666666666666666,13.0,0,1,0,0,1,Charlie,Taylor,d2f7f98b
18,3,5,13.0,11.0,0,1,0,1,1,Dana,Brown,4f5d04ca
20,6,7,11.616666666666667,13.0,0,0,0,0,1,Eli,Patel,a0fcd142
20,2,6,10.0,10.75,0,1,0,1,1,Alice,Smith,9dd60780
20,3,5,10.333333333333334,10.666666666666666,0,0,0,0,1,Bob,Jones,929f9cef
18,5,6,12.8,13.4,0,1,0,1,1,Charlie,Taylor,3ae8ce70
20,5,7,13.188,12.892857142857142,0,0,0,1,1,Dana,Brown,39928b77
22,0,5,0.0,0.0,1,1,0,0,0,Eli,Patel,7033b9d4
18,0,0,0.0,0.0,0,1,0,0,1,Alice,Smith,f928c298
18,3,6,12.333333333333334,10.833333333333334,0,1,0,0,1,Bob,Jones,9f7ca909
47,0,1,0.0,0.0,1,0,0,0,1,Charlie,Taylor,133579f5
28,4,5,11.25,10.5,0,1,0,0,1,Dana,Brown,2988f7ae
18,3,5,11.666666666666666,13.5,0,1,0,1,1,Eli,Patel,49a17e65
26,6,6,12.666666666666666,13.166666666666666,0,0,0,1,1,Alice,Smith,42ca0f69
21,8,10,11.5,10.0,1,0,0,0,0,Bob,Jones,68c24221
23,2,6,10.0,10.0,0,0,0,0,1,Charlie,Taylor,9fcac878
35,3,3,11.816666666666668,11.333333333333334,0,0,0,0,1,Dana,Brown,5b7ca049
25,6,7,12.125,13.3125,0,0,0,0,1,Eli,Patel,ec34f751
19,6,7,12.471428571428572,11.4625,0,1,0,0,1,Alice,Smith,688bd53a
24,11,17,12.909090909090908,13.555555555555555,0,1,0,0,1,Bob,Jones,45ee2419
19,5,6,12.4,12.4,0,1,0,0,1,Charlie,Taylor,03a26901
18,1,6,11.0,0.0,0,1,0,0,1,Dana,Brown,92e59536
18,6,6,11.833333333333334,12.5,0,0,0,0,1,Eli,Patel,551dacbd
18,7,7,13.79714285714286,13.775,0,0,0,1,1,Alice,Smith,5846190f
18,6,6,12.5,12.333333333333334,0,0,0,0,1,Bob,Jones,83fcb505
24,6,6,11.428571428571429,13.0,0,0,0,0,1,Charlie,Taylor,6cbe37af
19,4,6,11.0,11.0,0,1,0,0,1,Dana,Brown,3bd4264f
20,6,7,11.757142857142856,13.083333333333334,0,0,0,0,1,Eli,Patel,6d887869
19,3,5,10.333333333333334,13.0,0,1,0,0,1,Alice,Smith,3d5bcbd4
18,5,6,12.6,11.4,0,1,0,0,1,Bob,Jones,a36b8505
18,5,5,14.0,11.6,0,1,0,0,1,Charlie,Taylor,de7d4711
18,5,7,12.0,12.666666666666666,0,1,0,0,1,Dana,Brown,ec84c8b0
19,4,5,12.0,12.0,0,1,0,0,1,Eli,Patel,d96726d7
26,4,5,13.0,12.0,0,1,0,0,1,Alice,Smith,f552a3bc
36,13,16,10.692307692307692,12.307692307692308,0,0,0,0,1,Bob,Jones,9e79b27c
20,5,6,12.0,11.25,0,0,0,0,1,Charlie,Taylor,59b8776f
30,0,6,0.0,0.0,1,0,0,1,1,Dana,Brown,5969dd72
20,3,5,10.333333333333334,11.0,0,1,0,0,1,Eli,Patel,280101a6
19,5,7,13.98,13.98,0,1,0,0,1,Alice,Smith,e2b06986
19,1,5,11.0,11.2,0,0,0,0,1,Bob,Jones,45588272
31,4,5,11.25,10.833333333333334,0,0,0,1,1,Charlie,Taylor,5f72df48
42,10,11,11.9,12.8,1,0,0,0,1,Dana,Brown,f521e808
18,7,7,12.285714285714286,13.333333333333334,0,1,0,1,0,Eli,Patel,f7f5e089
21,5,6,12.666666666666666,13.5,0,1,0,0,1,Alice,Smith,6f4b7c14
20,6,7,13.25,13.75,0,0,0,0,1,Bob,Jones,2886b049
19,3,6,10.333333333333334,10.333333333333334,0,0,0,0,1,Charlie,Taylor,e70a3db1
22,5,6,13.166666666666666,12.4,0,1,0,0,1,Dana,Brown,6980f312
21,4,6,12.75,11.0,0,1,0,0,1,Eli,Patel,b5a37ff8
26,5,7,11.2,12.14,0,0,0,0,1,Alice,Smith,5785562c
18,5,6,11.6,11.2,0,0,0,1,1,Bob,Jones,1a7a6d11
20,3,6,10.333333333333334,10.333333333333334,0,1,0,0,1,Charlie,Taylor,8e4df7a1
19,4,6,12.25,11.0,0,1,0,0,1,Dana,Brown,61eba70e
19,6,6,12.0,12.75,0,0,0,0,1,Eli,Patel,87699884
20,3,5,11.333333333333334,10.666666666666666,0,1,0,0,1,Alice,Smith,cf6409e4
20,4,6,11.25,10.5,0,0,0,1,1,Bob,Jones,88ddfd1a
18,0,2,0.0,16.0,0,0,0,0,1,Charlie,Taylor,d072321e
18,1,5,12.0,12.0,1,1,0,0,1,Dana,Brown,29ab5ebc
20,5,6,12.8,12.8,0,1,0,1,1,Eli,Patel,6113c52e
19,5,5,11.8,11.25,0,1,0,0,1,Alice,Smith,fee613b7
20,5,6,10.6,10.4,0,0,0,0,1,Bob,Jones,09e9753f
20,5,6,14.333333333333334,12.625,0,1,0,0,1,Charlie,Taylor,9d3e3ed3
21,5,6,13.2,11.8,0,1,0,1,1,Dana,Brown,b567786b
20,6,6,12.666666666666666,13.0,0,0,0,0,1,Eli,Patel,4cb77295
22,5,6,13.333333333333334,11.4,1,1,0,0,1,Alice,Smith,0f4f6122
18,6,7,10.666666666666666,12.833333333333334,0,1,0,0,1,Bob,Jones,86dbba26
20,3,5,11.333333333333334,12.6,0,1,0,0,1,Charlie,Taylor,bc98ca7c
18,5,6,12.2,10.833333333333334,0,0,0,0,0,Dana,Brown,4afbe91e
27,4,7,14.0,12.525,0,0,0,0,1,Eli,Patel,0966c27c
26,7,7,14.75,13.8,0,0,0,0,1,Alice,Smith,ced21ac1
18,4,6,10.75,0.0,0,1,0,0,1,Bob,Jones,a4e2f392
24,1,5,12.0,10.5,0,1,1,0,1,Charlie,Taylor,13affb48
19,3,5,11.666666666666666,11.666666666666666,0,0,1,1,1,Dana,Brown,f3b07b56
20,5,5,10.0,12.0,0,0,1,0,1,Eli,Patel,ed5d87e8
18,5,5,13.2,12.6,0,1,1,1,1,Alice,Smith,fd1dd455
20,4,5,10.2,11.0,0,0,1,0,1,Bob,Jones,af41a52f
25,5,5,14.2,13.5,0,0,1,0,1,Charlie,Taylor,ea37fc24
22,6,6,12.625,14.5,1,0,1,0,1,Dana,Brown,2e81e4ef
18,6,8,13.496666666666668,13.496666666666668,0,0,1,0,1,Eli,Patel,b9b7db01
20,3,5,11.0,12.0,0,1,1,0,1,Alice,Smith,94baf504
23,3,6,11.5,10.666666666666666,1,1,1,0,1,Bob,Jones,2cccb361
20,2,5,11.0,12.666666666666666,0,1,1,0,1,Charlie,Taylor,a22478e2
20,3,5,12.4,10.833333333333334,0,0,1,0,1,Dana,Brown,cd767c7c
28,5,5,10.6,10.2,0,1,0,1,1,Eli,Patel,c4e2d823
19,6,6,14.833333333333334,13.285714285714286,0,1,0,0,1,Alice,Smith,37fed956
19,4,7,12.45,11.7,0,0,0,0,1,Bob,Jones,2267edbe
20,5,6,13.4,13.0,0,1,0,0,1,Charlie,Taylor,4432466a
20,6,6,13.333333333333334,14.0,1,0,0,0,1,Dana,Brown,c111e6cb
18,5,7,11.98,11.98,0,1,0,1,1,Eli,Patel,d60ac7d9
20,4,5,11.0,13.2,0,0,0,0,1,Alice,Smith,15276318
19,5,6,12.666666666666666,11.75,0,1,0,0,1,Bob,Jones,0eb57a19
19,5,6,12.2,13.0,0,1,0,0,1,Charlie,Taylor,6cd8b416
27,3,5,10.666666666666666,11.4,0,0,0,0,1,Dana,Brown,4fc0123e
18,3,5,11.666666666666666,11.0,0,0,0,0,1,Eli,Patel,eeb91e1d
18,2,5,10.5,12.333333333333334,0,1,0,0,1,Alice,Smith,34c86e90
18,8,8,14.26875,14.26875,0,1,0,0,1,Bob,Jones,753ecf2e
19,2,5,10.5,13.333333333333334,0,1,0,1,1,Charlie,Taylor,24c9e9e4
21,5,6,11.2,10.0,0,0,0,0,1,Dana,Brown,30810b8e
23,9,12,13.666666666666666,13.5,0,1,0,0,0,Eli,Patel,5a98a51a
19,5,6,11.4,10.0,1,1,0,1,1,Alice,Smith,f732d35e
18,5,6,10.6,10.0,1,0,0,0,1,Bob,Jones,07c464ce
19,5,7,11.8,11.708333333333334,0,1,0,0,1,Charlie,Taylor,c3a9f498
18,5,6,11.833333333333334,12.0,0,1,0,0,1,Dana,Brown,a5ce21b6
21,6,6,12.571428571428571,13.0,0,0,1,0,1,Eli,Patel,379c75ce
20,3,6,10.0,10.8,0,0,1,0,1,Alice,Smith,a70ea1a1
20,5,6,13.2,12.0,0,0,1,0,0,Bob,Jones,b77613e3
