student_number,first_name,last_name,marital_status,previous_qualification_grade,admission_grade,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_enrolled
09ace30d,Amy,Carlson,1,137.0,137.4,1,0,1,0,0,18,6
bc23ac1b,Matthew,Aguilar,1,140.0,124.6,1,0,1,0,0,18,7
a775781c,Samantha,Mosley,1,127.0,121.8,1,0,1,0,0,20,7
4517b137,James,Hernandez,1,151.0,157.0,1,1,1,0,1,18,6
3b79e780,Kevin,Vargas,1,138.0,131.0,1,0,1,0,0,18,5
ed603d92,Cheryl,Stevenson,1,127.0,118.8,1,0,1,1,0,19,7
136edae4,Alicia,Fritz,1,150.0,150.0,0,0,1,1,0,21,6
7afa7b30,Jordan,Jackson,1,143.0,138.8,0,0,0,1,0,18,5
6822a4fa,Daniel,Campbell,1,154.0,134.1,0,0,1,0,0,24,5
1544810b,William,Summers,1,139.0,121.3,1,0,1,0,1,19,8
5522ee37,Nathan,Evans,1,127.0,121.8,1,0,1,0,1,20,6
8843d6b6,Jeffrey,Boyer,1,125.0,115.2,1,0,1,0,0,18,0
f5a4f173,Laura,Guerrero,1,133.0,126.0,1,0,1,1,1,19,0
e35c0e6e,Matthew,Avila,1,127.0,130.2,1,0,1,1,0,19,6
c2adab9e,Jacob,Hall,1,116.0,120.9,0,0,1,1,0,24,6
0a40c7a3,Natalie,Burch,1,160.0,100.0,0,0,1,1,0,26,6
3ffb7673,Cassidy,Haney,1,148.0,134.0,0,0,1,1,0,18,5
ca06b63d,Anthony,Ross,1,120.0,125.5,0,0,1,1,0,18,5
eb728e6d,Marco,Smith,1,143.0,128.7,1,0,1,1,0,23,5
73e7463c,Zachary,Robinson,1,115.0,112.2,1,1,1,1,0,18,5
e53cb8b9,Derek,Walton,1,130.0,137.0,1,0,1,1,0,19,5
2cbda9df,Karen,Ayala,1,135.0,134.3,1,0,1,0,0,19,5
0b8716c2,Alex,Lopez,1,133.1,107.0,1,0,1,0,0,20,7
e4590659,Gabriela,Watkins,1,123.0,115.3,1,0,1,0,1,18,5
4f240360,Rachel,Ruiz,1,130.0,100.0,0,0,1,0,0,20,7
eabf00f9,Ronald,West,1,154.0,140.4,1,0,1,0,1,20,6
934a986d,Kurt,Mayer,1,120.0,113.4,0,0,1,0,0,20,5
4ebcc490,Sarah,Young,1,146.0,145.3,1,0,1,0,1,18,6
3b17f5c4,Kelsey,Lopez,1,117.0,112.1,0,0,1,0,1,20,7
0b465cb0,Susan,Byrd,1,99.0,99.7,1,1,0,0,0,22,5
aaf3951f,William,Murray,1,136.0,121.7,1,0,1,0,0,18,0
a104137c,Angela,Williamson,1,138.0,124.7,1,0,1,0,0,18,6
c4182be5,Laura,King,3,170.0,170.0,0,1,1,0,0,47,1
