age_at_enrollment,curricular_units_1st_sem_approved,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade,debtor,displaced,gender,scholarship_holder,tuition_fees_up_to_date
18,1,6,12.0,11.0,0,1,0,0,1
18,6,7,11.666666666666666,13.5,0,1,0,0,1
20,7,7,11.4375,11.425,0,1,0,0,1
18,5,6,11.6,11.0,1,1,0,1,1
18,5,5,12.666666666666666,13.0,0,1,0,0,1
19,6,7,12.933333333333332,13.716666666666669,0,1,1,0,1
21,5,6,11.857142857142858,10.571428571428571,0,0,1,0,1
18,3,5,11.333333333333334,13.5,0,0,1,0,0
24,2,5,11.5,14.333333333333334,0,0,0,0,1
19,6,8,11.833333333333334,11.833333333333334,0,1,0,1,1
20,4,6,14.0,11.0,0,1,0,1,1
18,0,0,0.0,0.0,0,1,0,0,1
19,0,0,0.0,0.0,0,1,1,1,1
19,5,6,11.4,10.0,0,1,1,0,1
24,0,6,0.0,0.0,0,0,1,0,1
26,6,6,12.0,10.8,0,0,1,0,1
18,0,5,0.0,0.0,0,0,1,0,1
18,5,5,12.0,11.333333333333334,0,0,1,0,1
23,4,5,14.0,13.8,0,1,1,0,1
18,2,5,10.0,0.0,1,1,1,0,1
19,5,5,14.0,13.25,0,1,1,0,1
19,5,5,14.2,13.8,0,1,0,0,1
20,6,7,11.666666666666666,13.0,0,1,0,0,1
18,3,5,13.0,11.0,0,1,0,1,1
20,6,7,11.616666666666667,13.0,0,0,0,0,1
20,2,6,10.0,10.75,0,1,0,1,1
20,3,5,10.333333333333334,10.666666666666666,0,0,0,0,1
18,5,6,12.8,13.4,0,1,0,1,1
20,5,7,13.188,12.892857142857142,0,0,0,1,1
22,0,5,0.0,0.0,1,1,0,0,0
18,0,0,0.0,0.0,0,1,0,0,1
18,3,6,12.333333333333334,10.833333333333334,0,1,0,0,1
47,0,1,0.0,0.0,1,0,0,0,1
28,4,5,11.25,10.5,0,1,0,0,1
18,3,5,11.666666666666666,13.5,0,1,0,1,1
26,6,6,12.666666666666666,13.166666666666666,0,0,0,1,1
21,8,10,11.5,10.0,1,0,0,0,0
23,2,6,10.0,10.0,0,0,0,0,1
35,3,3,11.816666666666668,11.333333333333334,0,0,0,0,1
25,6,7,12.125,13.3125,0,0,0,0,1
19,6,7,12.471428571428572,11.4625,0,1,0,0,1
24,11,17,12.909090909090908,13.555555555555555,0,1,0,0,1
19,5,6,12.4,12.4,0,1,0,0,1
18,1,6,11.0,0.0,0,1,0,0,1
18,6,6,11.833333333333334,12.5,0,0,0,0,1
18,7,7,13.79714285714286,13.775,0,0,0,1,1
